,Tick,Second,AttackerSteamId,AttackerName,AttackerTeam,AttackerSide,AttackerX,AttackerY,AttackerZ,AttackerAreaId,AttackerAreaName,AttackerViewX,AttackerViewY,VictimSteamId,VictimName,VictimTeam,VictimSide,VictimX,VictimY,VictimZ,VictimAreaId,VictimAreaName,VictimViewX,VictimViewY,AssisterSteamId,AssisterName,AssisterTeam,AssisterSide,AssisterX,AssisterY,AssisterZ,AssisterAreaId,AssisterAreaName,IsWallbang,IsFlashed,IsHeadshot,IsTrade,PlayerTradedName,PlayerTradedTeam,PlayerTradedSteamId,IsFirstKill,Weapon,RoundNum,MatchId,MapName
22,46072,43.48031496062992,7.656119824660747e+16,b1t,NAVI,T,-948.076171875,-1502.295654296875,-167.96875,38.0,Deep Jungle,134.2694091796875,0.8074951171875,76561198064058958,junior,FURIA,CT,-1311.701416015625,-1141.898193359375,-167.96875,528,Snipers Palace Peek,312.4786376953125,1.417236328125,,,,,,,,,,False,False,True,False,KSCERATO,FURIA,7.65611980585005e+16,False,Galil AR,4,furia-vs-natus-vincere-m3-mirage,de_mirage
23,49199,68.10236220472441,7.656119804376957e+16,arT,FURIA,CT,-763.5835571289062,-39.142860412597656,-163.93267822265625,35.0,Deep Catwalk,182.8564453125,0.98876953125,76561198034202275,s1mple,NAVI,T,-1103.949462890625,-57.311683654785156,-167.96875,126,Ladder Room Catwalk Side,2.3126220703125,356.4019775390625,,,,,,,,,,False,False,True,False,junior,FURIA,7.656119806405896e+16,False,M4A1,4,furia-vs-natus-vincere-m3-mirage,de_mirage
24,50852,81.11811023622047,7.65611980440451e+16,electronic,NAVI,T,-676.2022705078125,-879.8352661132812,-244.05882263183594,134.0,Bottom Connector,111.9012451171875,353.8092041015625,76561198043769572,arT,FURIA,CT,-909.6780395507812,-298.6762390136719,-167.96875,99,Deep Catwalk,283.721923828125,6.536865234375,,,,,,,,,,False,False,True,False,s1mple,NAVI,7.656119803420227e+16,False,AK-47,4,furia-vs-natus-vincere-m3-mirage,de_mirage
25,65161,87.46456692913385,7.656119816497056e+16,yuurih,FURIA,CT,-501.6788024902344,-1396.9005126953125,-111.2423095703125,2504.0,Bottom Stairs,143.8604736328125,6.7620849609375,76561198246607476,b1t,NAVI,T,-778.376220703125,-1193.0653076171875,-120.17536926269531,1303,Connector behind box,322.0257568359375,0.6536865234375,,,,,,,,,,False,True,True,False,,,,True,M4A4,5,furia-vs-natus-vincere-m3-mirage,de_mirage
26,65314,88.66929133858268,7.656119814620707e+16,Boombl4,NAVI,T,-750.9197998046875,-1226.03076171875,-167.96875,406.0,Connector behind box,335.115966796875,3.922119140625,76561198164970560,yuurih,FURIA,CT,-496.0006103515625,-1332.125732421875,-159.96875,696,Bottom Stairs,153.8690185546875,3.18603515625,7.656119803420227e+16,s1mple,NAVI,T,-349.7627868652344,-390.5206298828125,-112.17620086669922,135.0,CTCorridorUp,False,False,False,False,b1t,NAVI,7.656119824660747e+16,False,AK-47,5,furia-vs-natus-vincere-m3-mirage,de_mirage
27,65576,90.73228346456693,7.656119799637018e+16,VINI,FURIA,CT,-1029.2197265625,-1501.6318359375,-165.70240783691406,167.0,Deep Jungle,45.2252197265625,10.272216796875,76561198146207066,Boombl4,NAVI,T,-823.0624389648438,-1313.0863037109375,-167.96875,6,Bottom Stairs,225.3131103515625,4.6527099609375,,,,,,,,,,False,False,False,False,yuurih,FURIA,7.656119816497056e+16,False,AUG,5,furia-vs-natus-vincere-m3-mirage,de_mirage
28,65968,93.81889763779527,7.65611980440451e+16,electronic,NAVI,T,-1300.4732666015625,-1132.3748779296875,-167.96875,528.0,Snipers Palace Peek,298.5589599609375,5.7568359375,76561197996370184,VINI,FURIA,CT,-1120.8060302734375,-1456.1182861328125,-164.3229217529297,167,Deep Jungle,118.2843017578125,4.0155029296875,,,,,,,,,,False,False,True,False,Boombl4,NAVI,7.656119814620707e+16,False,AK-47,5,furia-vs-natus-vincere-m3-mirage,de_mirage
29,66100,94.85826771653544,7.65611980585005e+16,KSCERATO,FURIA,CT,-2022.7525634765625,658.361328125,-43.96875,48.0,Left Side Platform,31.88232421875,4.5867919921875,76561198121220486,Perfecto,NAVI,T,-1766.0255126953125,816.504638671875,-47.96875,20,CT Side Apps,218.1005859375,1.658935546875,,,,,,,,,,False,False,True,False,VINI,FURIA,7.656119799637018e+16,False,MP9,5,furia-vs-natus-vincere-m3-mirage,de_mirage
30,66433,97.48031496062993,7.65611980440451e+16,electronic,NAVI,T,-1150.2730712890625,-1328.2684326171875,-174.1967010498047,131.0,Deep Jungle,109.84130859375,2.1258544921875,76561198043769572,arT,FURIA,CT,-1276.7947998046875,-957.9749145507812,-167.96875,130,Murder Hole,286.885986328125,5.9710693359375,,,,,,,,,,False,False,True,False,Perfecto,NAVI,7.656119812122048e+16,False,AK-47,5,furia-vs-natus-vincere-m3-mirage,de_mirage
31,67422,105.26771653543307,7.656119806405896e+16,junior,FURIA,CT,-653.0819702148438,-2468.947021484375,-167.97071838378906,235.0,Ticketbooth ,70.4827880859375,3.8177490234375,76561198044045107,electronic,NAVI,T,-497.9513244628906,-2014.0513916015625,-179.96875,703,A Site Exposed to Stairs Connector Cat,104.425048828125,6.6302490234375,7.656119804376957e+16,arT,FURIA,CT,-1276.7947998046875,-957.9749145507812,-167.96875,130.0,Canal,False,False,False,False,arT,FURIA,7.656119804376957e+16,False,AWP,5,furia-vs-natus-vincere-m3-mirage,de_mirage
