,Tick,Second,AttackerSteamId,AttackerName,AttackerTeam,AttackerSide,AttackerX,AttackerY,AttackerZ,AttackerAreaId,AttackerAreaName,AttackerViewX,AttackerViewY,VictimSteamId,VictimName,VictimTeam,VictimSide,VictimX,VictimY,VictimZ,VictimAreaId,VictimAreaName,VictimViewX,VictimViewY,Weapon,HpDamage,HpDamageTaken,ArmorDamage,ArmorDamageTaken,HitGroup,RoundNum,MatchId,MapName
29,21341,57.92125984251968,7.656119803420227e+16,s1mple,NAVI,T,-879.7748413085938,-57.82333755493164,-167.96875,35.0,Deep Catwalk,282.15087890625,1.483154296875,76561198043769572,arT,FURIA,CT,-403.0209045410156,-2280.318359375,-168.3412628173828,2506,Ninja,101.7828369140625,359.736328125,SSG 08,60,60,0,0,RightLeg,2,furia-vs-natus-vincere-m3-mirage,de_mirage
30,21406,58.43307086614173,7.656119806405896e+16,junior,FURIA,CT,-2494.375,314.46728515625,-167.96875,878.0,Bench,354.188232421875,0.3131103515625,76561198246607476,b1t,NAVI,T,-984.2182006835938,142.7274932861328,-171.61720275878906,88,CT Catwalk,154.456787109375,359.09912109375,USP-S,13,13,6,6,RightArm,2,furia-vs-natus-vincere-m3-mirage,de_mirage
31,22109,63.968503937007874,7.656119812122048e+16,Perfecto,NAVI,T,-1859.1123046875,763.9159545898438,-47.96875,160.0,CT Side Apps,213.3599853515625,14.1448974609375,76561197996370184,VINI,FURIA,CT,-2282.316650390625,486.8556213378906,-167.96875,21,Back B Site Peeking Apps/Plat,1.9775390625,359.659423828125,AK-47,35,24,0,0,Chest,2,furia-vs-natus-vincere-m3-mirage,de_mirage
32,22207,64.74015748031496,7.65611980585005e+16,KSCERATO,FURIA,CT,-1969.9227294921875,827.6293334960938,-23.96875,849.0,Right Side Platform,307.2930908203125,9.0582275390625,76561198121220486,Perfecto,NAVI,T,-1924.5478515625,764.682861328125,-47.96875,359,CT Side Apps,254.8553466796875,11.436767578125,Zeus x27,236,100,0,0,Generic,2,furia-vs-natus-vincere-m3-mirage,de_mirage
33,22370,66.02362204724409,7.656119814620707e+16,Boombl4,NAVI,T,-1885.6243896484375,719.60400390625,-47.96875,359.0,CT Side Apps,120.6463623046875,0.6646728515625,76561198058500492,KSCERATO,FURIA,CT,-1952.0001220703125,833.8531494140625,2.7730391025543213,849,Right Side Platform,242.4627685546875,49.295654296875,Galil AR,3,3,0,0,RightLeg,2,furia-vs-natus-vincere-m3-mirage,de_mirage
34,22381,66.11023622047244,7.656119814620707e+16,Boombl4,NAVI,T,-1892.6322021484375,716.707275390625,-47.96875,359.0,CT Side Apps,120.201416015625,355.2484130859375,76561198058500492,KSCERATO,FURIA,CT,-1952.0001220703125,836.8179931640625,-2.933034658432007,849,Right Side Platform,250.99365234375,46.8841552734375,Galil AR,22,22,0,0,RightLeg,2,furia-vs-natus-vincere-m3-mirage,de_mirage
35,22393,66.20472440944881,7.656119814620707e+16,Boombl4,NAVI,T,-1895.1260986328125,717.0309448242188,-47.96875,359.0,CT Side Apps,115.257568359375,353.397216796875,76561198058500492,KSCERATO,FURIA,CT,-1952.0001220703125,840.0523681640625,-15.896142959594727,849,Right Side Platform,248.818359375,43.8848876953125,Galil AR,8,8,0,0,LeftLeg,2,furia-vs-natus-vincere-m3-mirage,de_mirage
36,22416,66.38582677165354,7.65611980585005e+16,KSCERATO,FURIA,CT,-1956.120849609375,842.6546630859375,-23.96875,849.0,Right Side Platform,290.467529296875,22.6483154296875,76561198146207066,Boombl4,NAVI,T,-1908.650390625,717.1043701171875,-47.96875,850,CT Side Apps,110.98388671875,355.2813720703125,USP-S,21,21,10,10,Stomach,2,furia-vs-natus-vincere-m3-mirage,de_mirage
37,22416,66.38582677165354,7.656119814620707e+16,Boombl4,NAVI,T,-1908.650390625,717.1043701171875,-47.96875,850.0,CT Side Apps,110.98388671875,355.2813720703125,76561198058500492,KSCERATO,FURIA,CT,-1956.120849609375,842.6546630859375,-23.96875,849,Right Side Platform,290.467529296875,22.6483154296875,Galil AR,119,67,0,0,Head,2,furia-vs-natus-vincere-m3-mirage,de_mirage
38,23640,76.02362204724409,7.656119824660747e+16,b1t,NAVI,T,-2573.4541015625,382.73944091796875,-167.96875,49.0,Forest,328.8427734375,0.2142333984375,76561198064058958,junior,FURIA,CT,-1866.773193359375,-65.00935363769531,-166.680908203125,11,Back Left B Site From T's' Perspective,74.8992919921875,353.4906005859375,AK-47,139,18,0,0,Head,2,furia-vs-natus-vincere-m3-mirage,de_mirage
