,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
420,Snipers Nest,Cadian,6,2,4,766,522,244,CT,358
421,Snipers Nest,Cadian,1,1,0,100,100,0,T,358
422,Top STairs,Cadian,3,2,1,314,227,87,CT,358
423,Top STairs,Cadian,1,0,1,100,0,100,T,358
424,Top Balcony,Cadian,1,0,1,100,0,100,CT,358
425,Top Balcony,Cadian,4,0,4,296,14,282,T,358
426,Deep Palace,Cadian,1,0,1,15,0,15,CT,358
427,Deep Palace,Cadian,0,0,0,0,0,0,T,358
428,Market Window Peek,Cadian,4,3,1,609,286,323,CT,358
429,Market Window Peek,Cadian,0,1,-1,0,100,-100,T,358
430,Arch,Cadian,0,1,-1,0,78,-78,CT,358
431,Arch,Cadian,2,2,0,221,211,10,T,358
432,T Spawn A Ramp,Cadian,1,1,0,33,127,-94,CT,358
433,T Spawn A Ramp,Cadian,1,1,0,100,114,-14,T,358
434,Deep T Apps Underpass STairs,Cadian,2,1,1,285,124,161,CT,358
435,Deep T Apps Underpass STairs,Cadian,0,0,0,1,1,0,T,358
436,Close Left CT A Ramp,Cadian,1,0,1,78,0,78,CT,358
437,Close Left CT A Ramp,Cadian,0,0,0,0,0,0,T,358
438,Stairs Palace Peek,Cadian,0,2,-2,13,219,-206,CT,358
439,Stairs Palace Peek,Cadian,1,0,1,139,0,139,T,358
440,Left Side Platform,Cadian,1,2,-1,164,233,-69,CT,358
441,Left Side Platform,Cadian,2,1,1,35,215,-180,T,358
442,Deep CT,Cadian,9,3,6,743,271,472,CT,358
443,Deep CT,Cadian,0,0,0,0,0,0,T,358
444,Catwalk T Aparments Peek,Cadian,4,1,3,236,83,153,CT,358
445,Catwalk T Aparments Peek,Cadian,4,0,4,339,168,171,T,358
446,B Site Default Plant,Cadian,1,2,-1,64,200,-136,CT,358
447,B Site Default Plant,Cadian,2,0,2,276,33,243,T,358
448,Back Right B Site from T's Perspective,Cadian,0,1,-1,0,100,-100,CT,358
449,Back Right B Site from T's Perspective,Cadian,0,0,0,0,0,0,T,358
450,Jungle Plant,Cadian,0,0,0,28,0,28,CT,358
451,Jungle Plant,Cadian,2,1,1,213,170,43,T,358
452,Right Side Platform,Cadian,2,2,0,134,200,-66,CT,358
453,Right Side Platform,Cadian,0,0,0,0,0,0,T,358
454,Snipers Palace Peek,Cadian,3,2,1,330,157,173,CT,358
455,Snipers Palace Peek,Cadian,2,0,2,120,0,120,T,358
456,Back B Site Peeking Apps/Plat,Cadian,1,1,0,100,100,0,CT,358
457,Back B Site Peeking Apps/Plat,Cadian,2,0,2,117,23,94,T,358
458,Catwalk Plant B Site,Cadian,0,0,0,0,0,0,CT,358
459,Catwalk Plant B Site,Cadian,1,1,0,100,174,-74,T,358
460,Tetris,Cadian,0,0,0,50,11,39,CT,358
461,Tetris,Cadian,1,0,1,87,43,44,T,358
462,CT Outside Market,Cadian,1,1,0,139,82,57,CT,358
463,CT Outside Market,Cadian,0,0,0,0,0,0,T,358
464,Ninja,Cadian,3,0,3,216,0,216,CT,358
465,Ninja,Cadian,1,0,1,100,1,99,T,358
466,Middle Bench,Cadian,0,0,0,0,0,0,CT,358
467,Middle Bench,Cadian,1,1,0,100,162,-62,T,358
468,B site Market Plant,Cadian,0,2,-2,71,200,-129,CT,358
469,B site Market Plant,Cadian,2,0,2,174,0,174,T,358
470,Van Barrel Peek,Cadian,0,0,0,0,0,0,CT,358
471,Van Barrel Peek,Cadian,1,1,0,1,98,-97,T,358
472,Firebox,Cadian,0,0,0,0,0,0,CT,358
473,Firebox,Cadian,0,1,-1,44,100,-56,T,358
474,Ladder Room Catwalk Side,Cadian,1,0,1,73,0,73,CT,358
475,Ladder Room Catwalk Side,Cadian,0,1,-1,4,104,-100,T,358
476,Top Mid Boxes Right Side Peek,Cadian,0,0,0,0,0,0,CT,358
477,Top Mid Boxes Right Side Peek,Cadian,0,2,-2,66,200,-134,T,358
478,Top Connector,Cadian,2,1,1,216,145,71,CT,358
479,Top Connector,Cadian,1,1,0,100,100,0,T,358
480,Bottom Mid Ladder Room Peek,Cadian,0,0,0,0,0,0,CT,358
481,Bottom Mid Ladder Room Peek,Cadian,0,0,0,0,0,0,T,358
482,Top Mid Right Side,Cadian,0,0,0,0,0,0,CT,358
483,Top Mid Right Side,Cadian,0,1,-1,0,100,-100,T,358
484,Top Mid Boxes Left Side Peek,Cadian,0,0,0,0,0,0,CT,358
485,Top Mid Boxes Left Side Peek,Cadian,0,1,-1,0,100,-100,T,358
486,Forest,Cadian,2,1,1,196,56,140,CT,358
487,Forest,Cadian,0,0,0,0,0,0,T,358
488,Deep T Spawn T Ramp,Cadian,0,0,0,0,0,0,CT,358
489,Deep T Spawn T Ramp,Cadian,0,0,0,0,0,0,T,358
490,Balcony Boaxes,Cadian,0,0,0,0,0,0,CT,358
491,Balcony Boaxes,Cadian,0,1,-1,0,100,-100,T,358
492,Close Right Market Window,Cadian,0,0,0,0,0,0,CT,358
493,Close Right Market Window,Cadian,0,0,0,0,0,0,T,358
494,Under window B apps,Cadian,0,0,0,0,0,0,CT,358
495,Under window B apps,Cadian,0,0,0,0,0,0,T,358
496,Sandwhich,Cadian,0,1,-1,0,100,-100,CT,358
497,Sandwhich,Cadian,0,0,0,0,25,-25,T,358
498,Bench Closer To Jungle,Cadian,0,0,0,62,0,62,CT,358
499,Bench Closer To Jungle,Cadian,0,0,0,0,0,0,T,358
500,Under balcony,Cadian,0,0,0,0,0,0,CT,358
501,Under balcony,Cadian,0,0,0,0,0,0,T,358
502,Right Side Snipers Nest,Cadian,0,0,0,2,71,-69,CT,358
503,Right Side Snipers Nest,Cadian,0,0,0,0,0,0,T,358
504,Left Side corner deep jungle,Cadian,2,0,2,164,0,164,CT,358
505,Left Side corner deep jungle,Cadian,0,0,0,0,0,0,T,358
506,Tucked in corner Market,Cadian,0,1,-1,0,100,-100,CT,358
507,Tucked in corner Market,Cadian,0,0,0,0,0,0,T,358
508,Connector behind box,Cadian,2,1,1,200,11,189,CT,358
509,Connector behind box,Cadian,0,0,0,0,0,0,T,358
510,CT Spawn,Cadian,0,1,-1,6,100,-94,CT,358
511,CT Spawn,Cadian,1,0,1,100,0,100,T,358
512,Right Side Connector,Cadian,1,0,1,193,184,9,CT,358
513,Right Side Connector,Cadian,0,1,-1,23,100,-77,T,358
514,Apartments Right CT Corner,Cadian,0,0,0,0,0,0,CT,358
515,Apartments Right CT Corner,Cadian,2,0,2,200,0,200,T,358
516,GasStation,Cadian,0,0,0,0,0,0,CT,358
517,GasStation,Cadian,0,1,-1,0,67,-67,T,358
518,Flowerpot CT,Cadian,0,1,-1,81,32,49,CT,358
519,Flowerpot CT,Cadian,0,0,0,0,0,0,T,358
520,CT Side Apps,Refresh,0,3,-3,88,273,-185,CT,172
521,CT Side Apps,Refresh,4,5,-1,442,707,-265,T,172
522,Left Side Platform,Refresh,0,1,-1,0,12,-12,CT,172
523,Left Side Platform,Refresh,3,3,0,263,292,-29,T,172
524,Top Balcony,Refresh,5,2,3,499,173,326,CT,172
525,Top Balcony,Refresh,3,2,1,319,288,31,T,172
526,Default A,Refresh,1,3,-2,228,284,-56,CT,172
527,Default A,Refresh,0,1,-1,12,123,-111,T,172
528,Bottom Stairs,Refresh,1,0,1,131,49,82,CT,172
529,Bottom Stairs,Refresh,2,2,0,208,171,37,T,172
530,CT Catwalk,Refresh,3,1,2,293,100,193,CT,172
531,CT Catwalk,Refresh,1,3,-2,110,203,-93,T,172
532,Bench,Refresh,1,1,0,116,100,16,CT,172
533,Bench,Refresh,2,1,1,110,67,43,T,172
534,Back B Site Peeking Apps/Plat,Refresh,1,0,1,28,14,14,CT,172
535,Back B Site Peeking Apps/Plat,Refresh,0,0,0,25,39,-14,T,172
536,Mid Close Connector,Refresh,1,2,-1,80,157,-77,CT,172
537,Mid Close Connector,Refresh,3,1,2,288,58,230,T,172
538,A Ramp,Refresh,3,0,3,278,0,278,CT,172
539,A Ramp,Refresh,0,1,-1,0,100,-100,T,172
540,Underneath B apps plat,Refresh,3,1,2,335,162,173,CT,172
541,Underneath B apps plat,Refresh,2,1,1,172,78,94,T,172
542,Ticketbooth ,Refresh,0,0,0,0,0,0,CT,172
543,Ticketbooth ,Refresh,0,1,-1,0,100,-100,T,172
544,Underpass,Refresh,1,0,1,100,28,72,CT,172
545,Underpass,Refresh,1,0,1,73,23,50,T,172
546,A Site,Refresh,2,2,0,320,239,81,CT,172
547,A Site,Refresh,0,1,-1,27,41,-14,T,172
548,Close Left CT A Ramp,Refresh,0,3,-3,192,237,-45,CT,172
549,Close Left CT A Ramp,Refresh,0,1,-1,0,100,-100,T,172
550,Bottom Connector,Refresh,0,0,0,131,9,122,CT,172
551,Bottom Connector,Refresh,0,1,-1,12,79,-67,T,172
552,Snipers Nest,Refresh,0,2,-2,26,191,-165,CT,172
553,Snipers Nest,Refresh,1,1,0,123,100,23,T,172
554,Close Market door,Refresh,0,1,-1,43,125,-82,CT,172
555,Close Market door,Refresh,1,0,1,94,27,67,T,172
556,Snipers Palace Peek,Refresh,1,2,-1,130,284,-154,CT,172
557,Snipers Palace Peek,Refresh,0,0,0,0,0,0,T,172
558,Leftside Connector,Refresh,0,2,-2,27,132,-105,CT,172
559,Leftside Connector,Refresh,0,0,0,0,0,0,T,172
560,Deep Catwalk,Refresh,7,1,6,638,100,538,CT,172
561,Deep Catwalk,Refresh,0,1,-1,0,100,-100,T,172
562,Close A Ramp,Refresh,1,1,0,7,15,-8,CT,172
