,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds,Damage Diff Per 30,KD Diff Per 30,Kills Per 30,Deaths Per 30,Damage Dealt Per 30,Damage Taken Per 30
864,CT Side Apps,huNter-,0,0,0,0,14,-14,CT,141,-2.9787234042553195,0.0,0.0,0.0,0.0,2.9787234042553195
865,CT Side Apps,huNter-,3,5,-2,245,738,-493,T,176,-84.0340909090909,-0.34090909090909094,0.5113636363636364,0.8522727272727273,41.76136363636364,125.79545454545455
866,Bottom Stairs,huNter-,3,2,1,232,278,-46,CT,141,-9.787234042553193,0.2127659574468085,0.6382978723404256,0.425531914893617,49.36170212765957,59.148936170212764
867,Bottom Stairs,huNter-,5,5,0,525,619,-94,T,176,-16.022727272727273,0.0,0.8522727272727273,0.8522727272727273,89.48863636363636,105.51136363636364
868,Snipers Palace Peek,huNter-,4,2,2,484,213,271,CT,141,57.659574468085104,0.425531914893617,0.851063829787234,0.425531914893617,102.97872340425532,45.319148936170215
869,Snipers Palace Peek,huNter-,3,3,0,236,216,20,T,176,3.409090909090909,0.0,0.5113636363636364,0.5113636363636364,40.22727272727273,36.81818181818182
870,Default A,huNter-,2,1,1,226,73,153,CT,141,32.5531914893617,0.2127659574468085,0.425531914893617,0.2127659574468085,48.08510638297873,15.53191489361702
871,Default A,huNter-,2,4,-2,200,415,-215,T,176,-36.64772727272727,-0.34090909090909094,0.34090909090909094,0.6818181818181819,34.09090909090909,70.73863636363636
872,Catwalk Connector Peek,huNter-,1,4,-3,151,396,-245,CT,141,-52.12765957446808,-0.6382978723404256,0.2127659574468085,0.851063829787234,32.12765957446809,84.25531914893617
873,Catwalk Connector Peek,huNter-,3,2,1,341,188,153,T,176,26.079545454545453,0.17045454545454547,0.5113636363636364,0.34090909090909094,58.125,32.04545454545455
874,Deep T Apps,huNter-,2,3,-1,385,326,59,CT,141,12.553191489361701,-0.2127659574468085,0.425531914893617,0.6382978723404256,81.91489361702128,69.36170212765957
875,Deep T Apps,huNter-,2,5,-3,241,538,-297,T,176,-50.625,-0.5113636363636364,0.34090909090909094,0.8522727272727273,41.07954545454545,91.70454545454545
876,A Site Exposed to Stairs Connector Cat,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
877,A Site Exposed to Stairs Connector Cat,huNter-,2,3,-1,229,305,-76,T,176,-12.954545454545455,-0.17045454545454547,0.34090909090909094,0.5113636363636364,39.03409090909091,51.98863636363636
878,Arch,huNter-,5,6,-1,647,656,-9,CT,141,-1.9148936170212765,-0.2127659574468085,1.0638297872340425,1.2765957446808511,137.65957446808508,139.57446808510636
