,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Total Rounds,Percentage Kills,Percentage Deaths,Percentage Damage Taken,Percentage Damage Dealt
1054,Top Balcony,yuurih,0,1,-1,0,61,-61,79,0.0,0.13089005235602094,0.09404872032069071,0.0
1055,Deep Palace,yuurih,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
1056,Under balcony,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1057,Left Side Platform,yuurih,0,1,-1,0,87,-87,79,0.0,0.13089005235602094,0.1341350601295097,0.0
1058,CT Deep Catwalk Mid peek,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1059,Right Side Snipers Nest,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1060,CT Side Apps,yuurih,0,1,-1,0,78,-78,79,0.0,0.13089005235602094,0.12025901942645699,0.0
1061,Snipers Palace Peek,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1062,Jungle Plant,yuurih,0,1,-1,0,88,-88,79,0.0,0.13089005235602094,0.1356768424298489,0.0
1063,Ticketbooth ,faveN,3,0,3,387,0,387,29,0.5494505494505495,0.0,0.0,0.7725321888412017
1064,Close Left CT A Ramp,faveN,0,1,-1,0,13,-13,29,0.0,0.13089005235602094,0.020043169904409498,0.0
1065,CT Side Apps,faveN,0,1,-1,0,6,-6,29,0.0,0.13089005235602094,0.009250693802035153,0.0
1066,A Ramp,faveN,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
1067,A Site,faveN,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
1068,Sandwhich,faveN,0,1,-1,0,76,-76,29,0.0,0.13089005235602094,0.11717545482577861,0.0
1069,Top STairs,faveN,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
1070,Close A Ramp,faveN,0,1,-1,0,52,-52,29,0.0,0.13089005235602094,0.08017267961763799,0.0
1071,Deep T Apps,REDSTAR,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0
1072,Back Left B Site From T's' Perspective,REDSTAR,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0
1073,Catwalk Plant B Site,REDSTAR,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0
1074,Deep Palace,REDSTAR,1,0,1,53,0,53,25,0.18315018315018314,0.0,0.0,0.10579898193432478
1075,Connector behind box,REDSTAR,0,1,-1,0,100,-100,25,0.0,0.13089005235602094,0.1541782300339192,0.0
1076,Balcony Boaxes,misutaaa,0,1,-1,0,50,-50,27,0.0,0.13089005235602094,0.0770891150169596,0.0
1077,A Site,misutaaa,0,1,-1,0,76,-76,27,0.0,0.13089005235602094,0.11717545482577861,0.0
1078,Left Side Platform,misutaaa,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0
1079,Mid Close Connector,misutaaa,0,1,-1,0,82,-82,27,0.0,0.13089005235602094,0.12642614862781376,0.0
1080,Top Balcony,misutaaa,0,1,-1,0,100,-100,27,0.0,0.13089005235602094,0.1541782300339192,0.0
1081,Stairs Palace Peek,misutaaa,0,1,-1,0,100,-100,27,0.0,0.13089005235602094,0.1541782300339192,0.0
1082,Deep T Apps,misutaaa,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0
1083,Semi Elevated CT Van,misutaaa,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0
1084,Underneath B apps plat,misutaaa,0,1,-1,0,99,-99,27,0.0,0.13089005235602094,0.15263644773358,0.0
1085,Catwalk Connector Peek,misutaaa,0,1,-1,0,100,-100,27,0.0,0.13089005235602094,0.1541782300339192,0.0
1086,CT Catwalk,misutaaa,0,1,-1,0,45,-45,27,0.0,0.13089005235602094,0.06938020351526364,0.0
1087,B Bombsite Cross to Catwalk,misutaaa,0,1,-1,0,100,-100,27,0.0,0.13089005235602094,0.1541782300339192,0.0
1088,Apartments Right CT Corner,misutaaa,0,1,-1,0,100,-100,27,0.0,0.13089005235602094,0.1541782300339192,0.0
1089,Snipers Nest,YEKINDAR,0,1,-1,0,100,-100,54,0.0,0.13089005235602094,0.1541782300339192,0.0
1090,Bottom Stairs,YEKINDAR,0,0,0,0,0,0,54,0.0,0.0,0.0,0.0
1091,Firebox,YEKINDAR,0,0,0,0,0,0,54,0.0,0.0,0.0,0.0
1092,Deep T Apps Underpass STairs,YEKINDAR,0,0,0,0,0,0,54,0.0,0.0,0.0,0.0
1093,CT Catwalk,YEKINDAR,0,1,-1,0,100,-100,54,0.0,0.13089005235602094,0.1541782300339192,0.0
1094,CT Side Apps,olofmeister,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0
1095,A Site,olofmeister,0,1,-1,0,47,-47,25,0.0,0.13089005235602094,0.07246376811594203,0.0
1096,Deep T Apps,olofmeister,0,1,-1,0,17,-17,25,0.0,0.13089005235602094,0.026210299105766263,0.0
1097,Arch,olofmeister,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0
1098,Top Mid Left Side,olofmeister,0,1,-1,0,100,-100,25,0.0,0.13089005235602094,0.1541782300339192,0.0
1099,Close A Ramp,honda,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0
1100,Right Side Snipers Nest,honda,0,1,-1,0,100,-100,30,0.0,0.13089005235602094,0.1541782300339192,0.0
1101,A Ramp,honda,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0
1102,Leftside Connector,honda,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0
1103,T Palace Stairs Peek,honda,0,1,-1,0,100,-100,30,0.0,0.13089005235602094,0.1541782300339192,0.0
1104,Top Mid Left Side,maden,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
1105,Left Side Platform,maden,0,1,-1,0,44,-44,24,0.0,0.13089005235602094,0.06783842121492445,0.0
1106,Close Left CT A Ramp,maden,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
1107,Triple Box,maden,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
1108,Underpass,maden,0,1,-1,0,100,-100,24,0.0,0.13089005235602094,0.1541782300339192,0.0
1109,CT Catwalk,NAF,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1110,A Ramp,NAF,0,2,-2,0,200,-200,28,0.0,0.2617801047120419,0.3083564600678384,0.0
1111,Register Market,NAF,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1112,A Site,NAF,0,1,-1,0,84,-84,28,0.0,0.13089005235602094,0.12950971322849214,0.0
1113,Top Balcony,NAF,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1114,Market Window Peek,NAF,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1115,Arch,NAF,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1116,Deep T Apps,frozen,0,3,-3,0,300,-300,50,0.0,0.3926701570680628,0.46253469010175763,0.0
1117,Deep T Apps Underpass STairs,frozen,0,2,-2,0,200,-200,50,0.0,0.2617801047120419,0.3083564600678384,0.0
1118,Bottom Connector,frozen,0,1,-1,0,100,-100,50,0.0,0.13089005235602094,0.1541782300339192,0.0
1119,Close Left CT A Ramp,frozen,0,1,-1,0,100,-100,50,0.0,0.13089005235602094,0.1541782300339192,0.0
1120,Bottom Stairs,frozen,0,1,-1,0,100,-100,50,0.0,0.13089005235602094,0.1541782300339192,0.0
1121,CT Catwalk,frozen,0,1,-1,0,18,-18,50,0.0,0.13089005235602094,0.02775208140610546,0.0
1122,Snipers Nest,frozen,0,1,-1,0,78,-78,50,0.0,0.13089005235602094,0.12025901942645699,0.0
1123,Deep Palace,frozen,0,1,-1,0,100,-100,50,0.0,0.13089005235602094,0.1541782300339192,0.0
1124,Close Market Window,frozen,0,1,-1,0,100,-100,50,0.0,0.13089005235602094,0.1541782300339192,0.0
1125,Deep Jungle,frozen,0,0,0,0,0,0,50,0.0,0.0,0.0,0.0
1126,T Spawn,frozen,0,0,0,0,0,0,50,0.0,0.0,0.0,0.0
1127,Mid Close Connector,blameF,0,4,-4,0,249,-249,35,0.0,0.5235602094240838,0.38390379278445885,0.0
1128,CT Side Apps,blameF,0,2,-2,0,281,-281,35,0.0,0.2617801047120419,0.433240826395313,0.0
1129,A Site,blameF,0,2,-2,0,200,-200,35,0.0,0.2617801047120419,0.3083564600678384,0.0
1130,Snipers Nest,blameF,0,2,-2,0,200,-200,35,0.0,0.2617801047120419,0.3083564600678384,0.0
1131,CT Catwalk,blameF,0,1,-1,0,100,-100,35,0.0,0.13089005235602094,0.1541782300339192,0.0
1132,Default A,blameF,0,1,-1,0,100,-100,35,0.0,0.13089005235602094,0.1541782300339192,0.0
1133,Top STairs,blameF,0,1,-1,0,100,-100,35,0.0,0.13089005235602094,0.1541782300339192,0.0
1134,Close A Ramp,blameF,0,1,-1,0,100,-100,35,0.0,0.13089005235602094,0.1541782300339192,0.0
1135,Bottom Stairs,blameF,0,1,-1,0,27,-27,35,0.0,0.13089005235602094,0.041628122109158186,0.0
1136,A Ramp,blameF,0,1,-1,0,100,-100,35,0.0,0.13089005235602094,0.1541782300339192,0.0
1137,Catwalk Connector Peek,blameF,0,1,-1,0,100,-100,35,0.0,0.13089005235602094,0.1541782300339192,0.0
1138,Tetris,blameF,0,1,-1,0,100,-100,35,0.0,0.13089005235602094,0.1541782300339192,0.0
1139,B Bombsite Cross to Catwalk,blameF,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0
1140,Sandwhich,blameF,0,1,-1,0,4,-4,35,0.0,0.13089005235602094,0.006167129201356769,0.0
1141,Deep Jungle,blameF,0,1,-1,0,185,-185,35,0.0,0.13089005235602094,0.28522972556275056,0.0
1142,Deep T Apps,blameF,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0
1143,CT Side Apps,hardzao,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0
1144,Jungle Plant,hardzao,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1145,Top Mid Left Side,flamie,0,0,0,0,0,0,60,0.0,0.0,0.0,0.0
1146,Deep T Apps,flamie,0,0,0,0,0,0,60,0.0,0.0,0.0,0.0
1147,Bottom Connector,flamie,0,1,-1,0,58,-58,60,0.0,0.13089005235602094,0.08942337341967314,0.0
1148,CT Side Apps,flamie,0,1,-1,0,100,-100,60,0.0,0.13089005235602094,0.1541782300339192,0.0
1149,Register Market,flamie,0,1,-1,0,100,-100,60,0.0,0.13089005235602094,0.1541782300339192,0.0
1150,B Bombsite Cross to Catwalk,flamie,0,1,-1,0,78,-78,60,0.0,0.13089005235602094,0.12025901942645699,0.0
1151,Deep Palace,flamie,0,1,-1,0,100,-100,60,0.0,0.13089005235602094,0.1541782300339192,0.0
1152,Top Balcony,flamie,0,1,-1,0,100,-100,60,0.0,0.13089005235602094,0.1541782300339192,0.0
1153,Ticketbooth ,Twistzz,0,1,-1,0,6,-6,51,0.0,0.13089005235602094,0.009250693802035153,0.0
1154,Top Mid Left Side,Twistzz,0,2,-2,0,144,-144,51,0.0,0.2617801047120419,0.22201665124884368,0.0
1155,Bench Closer To Jungle,Twistzz,0,1,-1,0,67,-67,51,0.0,0.13089005235602094,0.10329941412272588,0.0
1156,Catwalk Plant B Site,Twistzz,0,1,-1,0,38,-38,51,0.0,0.13089005235602094,0.058587727412889305,0.0
1157,Triple Box,Twistzz,0,1,-1,0,100,-100,51,0.0,0.13089005235602094,0.1541782300339192,0.0
1158,Jungle Plant,Twistzz,0,1,-1,0,100,-100,51,0.0,0.13089005235602094,0.1541782300339192,0.0
1159,Deep T Apps,Twistzz,0,1,-1,0,100,-100,51,0.0,0.13089005235602094,0.1541782300339192,0.0
1160,Underneath B apps plat,Twistzz,0,1,-1,0,9,-9,51,0.0,0.13089005235602094,0.01387604070305273,0.0
1161,Tetris,Twistzz,0,1,-1,0,100,-100,51,0.0,0.13089005235602094,0.1541782300339192,0.0
1162,Right Side Connector,Twistzz,0,1,-1,0,100,-100,51,0.0,0.13089005235602094,0.1541782300339192,0.0
1163,Apartments Right CT Corner,Twistzz,0,0,0,0,0,0,51,0.0,0.0,0.0,0.0
1164,Top Mid,Twistzz,0,1,-1,0,81,-81,51,0.0,0.13089005235602094,0.12488436632747456,0.0
1165,Top Connector,Twistzz,0,1,-1,0,53,-53,51,0.0,0.13089005235602094,0.08171446191797718,0.0
1166,CT Side Apps,huNter-,0,2,-2,0,200,-200,57,0.0,0.2617801047120419,0.3083564600678384,0.0
1167,Ticketbooth ,huNter-,0,2,-2,0,43,-43,57,0.0,0.2617801047120419,0.06629663891458526,0.0
1168,Deep T Apps,huNter-,0,2,-2,0,200,-200,57,0.0,0.2617801047120419,0.3083564600678384,0.0
1169,Deep Catwalk,huNter-,0,2,-2,0,200,-200,57,0.0,0.2617801047120419,0.3083564600678384,0.0
1170,A Ramp,huNter-,0,2,-2,0,200,-200,57,0.0,0.2617801047120419,0.3083564600678384,0.0
1171,Top Mid,huNter-,0,2,-2,0,191,-191,57,0.0,0.2617801047120419,0.2944804193647857,0.0
1172,Bottom Stairs,huNter-,0,1,-1,0,100,-100,57,0.0,0.13089005235602094,0.1541782300339192,0.0
1173,Underpass,huNter-,0,1,-1,0,100,-100,57,0.0,0.13089005235602094,0.1541782300339192,0.0
1174,Top Balcony,huNter-,0,1,-1,0,59,-59,57,0.0,0.13089005235602094,0.09096515572001233,0.0
1175,Connector behind box,huNter-,0,1,-1,0,100,-100,57,0.0,0.13089005235602094,0.1541782300339192,0.0
1176,Sandwhich,huNter-,0,1,-1,0,100,-100,57,0.0,0.13089005235602094,0.1541782300339192,0.0
1177,Top Mid Left Side,huNter-,0,1,-1,0,71,-71,57,0.0,0.13089005235602094,0.10946654332408264,0.0
1178,Ladder Room Catwalk Side,huNter-,0,1,-1,0,100,-100,57,0.0,0.13089005235602094,0.1541782300339192,0.0
1179,B Bombsite Cross to Catwalk,huNter-,0,0,0,0,0,0,57,0.0,0.0,0.0,0.0
1180,Top Balcony,KRIMZ,0,2,-2,0,168,-168,28,0.0,0.2617801047120419,0.2590194264569843,0.0
1181,B Site Default Plant,KRIMZ,0,1,-1,0,47,-47,28,0.0,0.13089005235602094,0.07246376811594203,0.0
1182,CT Side Apps,KRIMZ,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1183,A Ramp,KRIMZ,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1184,Bench,KRIMZ,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0
1185,Deep Palace,KRIMZ,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1186,Back B Site Peeking Apps/Plat,KRIMZ,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0
1187,Sandwhich,KRIMZ,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1188,Top Mid Catwalk,zehN,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
1189,Top Mid towards Apps,zehN,0,1,-1,0,100,-100,24,0.0,0.13089005235602094,0.1541782300339192,0.0
1190,Underpass,zehN,0,1,-1,0,100,-100,24,0.0,0.13089005235602094,0.1541782300339192,0.0
1191,A Ramp,zehN,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
1192,Deep Jungle,zehN,0,1,-1,0,100,-100,24,0.0,0.13089005235602094,0.1541782300339192,0.0
1193,Top Mid Left Side,Jackinho,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0
1194,Bottom Connector,Jackinho,0,1,-1,0,8,-8,27,0.0,0.13089005235602094,0.012334258402713539,0.0
1195,Close Left CT A Ramp,Jackinho,0,1,-1,0,145,-145,27,0.0,0.13089005235602094,0.22355843354918284,0.0
1196,Triple Box,Jackinho,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0
1197,A Ramp,Jackinho,0,1,-1,0,100,-100,27,0.0,0.13089005235602094,0.1541782300339192,0.0
1198,Top Mid Catwalk,try,0,1,-1,0,100,-100,24,0.0,0.13089005235602094,0.1541782300339192,0.0
1199,Top Mid Left Side,try,0,1,-1,0,100,-100,24,0.0,0.13089005235602094,0.1541782300339192,0.0
1200,Ticketbooth ,try,0,0,0,54,0,54,24,0.0,0.0,0.0,0.10779518914063281
1201,CT Side Apps,try,0,1,-1,0,10,-10,24,0.0,0.13089005235602094,0.01541782300339192,0.0
1202,Back B Site Peeking Apps/Plat,try,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
1203,Stairs Palace Peek,try,0,1,-1,0,100,-100,24,0.0,0.13089005235602094,0.1541782300339192,0.0
1204,Bottom Stairs,rain,0,2,-2,0,181,-181,22,0.0,0.2617801047120419,0.2790625963613938,0.0
1205,Top Mid Left Side,rain,0,2,-2,0,200,-200,22,0.0,0.2617801047120419,0.3083564600678384,0.0
1206,Van Barrel Peek,rain,0,1,-1,0,85,-85,22,0.0,0.13089005235602094,0.13105149552883133,0.0
1207,Top Mid Boxes Right Side Peek,rain,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1208,T Deep Apps Underpass/Apps Peek,rain,0,1,-1,0,99,-99,22,0.0,0.13089005235602094,0.15263644773358,0.0
1209,Default A,rain,0,1,-1,0,3,-3,22,0.0,0.13089005235602094,0.004625346901017576,0.0
1210,Mid Close Connector,rain,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1211,Top Balcony,rain,0,1,-1,0,44,-44,22,0.0,0.13089005235602094,0.06783842121492445,0.0
1212,Top Mid towards Apps,rain,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1213,A Site Exposed to Stairs Connector Cat,rain,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1214,CT Catwalk,rain,0,1,-1,0,46,-46,22,0.0,0.13089005235602094,0.07092198581560284,0.0
1215,Top Mid Boxes Left Side Peek,rain,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1216,Deep T Apps,rain,0,0,0,0,0,0,22,0.0,0.0,0.0,0.0
1217,Deep T Apps,sdy,0,4,-4,0,400,-400,25,0.0,0.5235602094240838,0.6167129201356768,0.0
1218,Bottom Stairs,sdy,0,2,-2,0,134,-134,25,0.0,0.2617801047120419,0.20659882824545175,0.0
1219,Underpass,sdy,0,1,-1,0,100,-100,25,0.0,0.13089005235602094,0.1541782300339192,0.0
1220,T Deep Apps Underpass/Apps Peek,sdy,0,1,-1,0,15,-15,25,0.0,0.13089005235602094,0.023126734505087884,0.0
1221,Left Side Platform,sdy,0,1,-1,0,88,-88,25,0.0,0.13089005235602094,0.1356768424298489,0.0
1222,Mid Close Connector,sdy,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0
1223,Deep Palace,sdy,0,1,-1,0,53,-53,25,0.0,0.13089005235602094,0.08171446191797718,0.0
1224,Top Connector,sdy,0,1,-1,0,53,-53,25,0.0,0.13089005235602094,0.08171446191797718,0.0
1225,Jungle Plant,sdy,0,1,-1,0,49,-49,25,0.0,0.13089005235602094,0.07554733271662041,0.0
1226,Top Mid Left Side,sdy,0,1,-1,0,183,-183,25,0.0,0.13089005235602094,0.2821461609620721,0.0
1227,CT Side Apps,sdy,0,1,-1,0,9,-9,25,0.0,0.13089005235602094,0.01387604070305273,0.0
1228,A Ramp,sdy,0,1,-1,0,89,-89,25,0.0,0.13089005235602094,0.13721862473018812,0.0
1229,Deep T Apps Underpass STairs,sdy,0,1,-1,0,185,-185,25,0.0,0.13089005235602094,0.28522972556275056,0.0
1230,B Bombsite Cross to Catwalk,sdy,0,1,-1,0,100,-100,25,0.0,0.13089005235602094,0.1541782300339192,0.0
1231,T Palace Stairs Peek,sdy,0,1,-1,0,100,-100,25,0.0,0.13089005235602094,0.1541782300339192,0.0
1232,T Palace Stairs Peek,RpK,0,2,-2,0,200,-200,28,0.0,0.2617801047120419,0.3083564600678384,0.0
1233,Close A Ramp,RpK,0,1,-1,0,78,-78,28,0.0,0.13089005235602094,0.12025901942645699,0.0
1234,Deep T Apps,RpK,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1235,A Site Exposed to Stairs Connector Cat,RpK,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1236,CT Catwalk,RpK,0,1,-1,0,54,-54,28,0.0,0.13089005235602094,0.08325624421831637,0.0
1237,Top Van,RpK,0,1,-1,0,0,0,28,0.0,0.13089005235602094,0.0,0.0
1238,A Site,RpK,0,1,-1,0,73,-73,28,0.0,0.13089005235602094,0.11255010792476103,0.0
1239,Inside Market Doors,RpK,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0
1240,Deep Palace,RpK,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
1241,Top Balcony,RpK,0,1,-1,0,31,-31,28,0.0,0.13089005235602094,0.04779525131051495,0.0
1242,CT Outside Market,dycha,0,1,-1,0,6,-6,21,0.0,0.13089005235602094,0.009250693802035153,0.0
1243,Underneath B apps plat,dycha,0,1,-1,0,72,-72,21,0.0,0.13089005235602094,0.11100832562442184,0.0
1244,Top Balcony,dycha,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0
1245,Top Mid Left Side,b1t,0,2,-2,0,200,-200,22,0.0,0.2617801047120419,0.3083564600678384,0.0
1246,A Ramp,b1t,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1247,A Site Exposed to Stairs Connector Cat,b1t,0,2,-2,0,177,-177,22,0.0,0.2617801047120419,0.272895467160037,0.0
1248,Stairs Palace Peek,b1t,0,1,-1,0,58,-58,22,0.0,0.13089005235602094,0.08942337341967314,0.0
1249,CT Side Apps,b1t,0,1,-1,0,107,-107,22,0.0,0.13089005235602094,0.16497070613629355,0.0
1250,Left Side Platform,b1t,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1251,Triple Box,b1t,0,1,-1,0,2,-2,22,0.0,0.13089005235602094,0.0030835646006783846,0.0
1252,Underpass,b1t,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1253,Deep T Apps Underpass STairs,b1t,0,1,-1,0,38,-38,22,0.0,0.13089005235602094,0.058587727412889305,0.0
1254,Jungle Plant,b1t,0,1,-1,0,78,-78,22,0.0,0.13089005235602094,0.12025901942645699,0.0
1255,Deep Catwalk,b1t,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1256,Close Left CT A Ramp,b1t,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1257,Catwalk Connector Peek,b1t,0,1,-1,0,11,-11,22,0.0,0.13089005235602094,0.016959605303731112,0.0
1258,Leftside Connector,b1t,0,1,-1,0,87,-87,22,0.0,0.13089005235602094,0.1341350601295097,0.0
1259,B Bombsite Cross to Catwalk,RUSH ,0,1,-1,0,9,-9,36,0.0,0.13089005235602094,0.01387604070305273,0.0
1260,Deep T Apps,RUSH ,0,1,-1,0,100,-100,36,0.0,0.13089005235602094,0.1541782300339192,0.0
1261,Register Market,RUSH ,0,0,0,0,0,0,36,0.0,0.0,0.0,0.0
1262,A Site Exposed to Stairs Connector Cat,RUSH ,0,1,-1,0,8,-8,36,0.0,0.13089005235602094,0.012334258402713539,0.0
1263,Deep Palace,interz,0,3,-3,0,300,-300,22,0.0,0.3926701570680628,0.46253469010175763,0.0
1264,Top Balcony,interz,0,2,-2,0,85,-85,22,0.0,0.2617801047120419,0.13105149552883133,0.0
1265,Underpass,interz,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1266,Van Barrel Peek,interz,0,1,-1,0,86,-86,22,0.0,0.13089005235602094,0.13259327782917052,0.0
1267,CT Side Apps,interz,0,1,-1,0,15,-15,22,0.0,0.13089005235602094,0.023126734505087884,0.0
1268,T Spawn A Ramp,interz,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1269,Bench,interz,0,1,-1,0,37,-37,22,0.0,0.13089005235602094,0.0570459451125501,0.0
1270,A Site,interz,0,1,-1,0,7,-7,22,0.0,0.13089005235602094,0.010792476102374344,0.0
1271,Triple Box,interz,0,1,-1,0,30,-30,22,0.0,0.13089005235602094,0.04625346901017577,0.0
1272,Deep CT,interz,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1273,Firebox,interz,0,1,-1,0,7,-7,22,0.0,0.13089005235602094,0.010792476102374344,0.0
1274,Tetris,interz,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1275,Apartments Right CT Corner,interz,0,0,0,0,0,0,22,0.0,0.0,0.0,0.0
1276,T Palace Stairs Peek,interz,0,1,-1,0,100,-100,22,0.0,0.13089005235602094,0.1541782300339192,0.0
1277,Top Balcony,Aunkere,0,1,-1,0,100,-100,29,0.0,0.13089005235602094,0.1541782300339192,0.0
1278,A Site,Aunkere,0,1,-1,0,100,-100,29,0.0,0.13089005235602094,0.1541782300339192,0.0
1279,Left Side Platform,Aunkere,0,1,-1,0,100,-100,29,0.0,0.13089005235602094,0.1541782300339192,0.0
1280,Apartments Right CT Corner,Aunkere,0,1,-1,0,95,-95,29,0.0,0.13089005235602094,0.14646931853222325,0.0
1281,Underpass,Aunkere,0,1,-1,0,100,-100,29,0.0,0.13089005235602094,0.1541782300339192,0.0
1282,Forest,doto,0,1,-1,0,90,-90,21,0.0,0.13089005235602094,0.13876040703052728,0.0
1283,CT Side Apps,doto,0,1,-1,0,75,-75,21,0.0,0.13089005235602094,0.11563367252543941,0.0
1284,Top Balcony,jks,0,4,-4,0,384,-384,36,0.0,0.5235602094240838,0.5920444033302498,0.0
1285,A Site,jks,0,3,-3,0,280,-280,36,0.0,0.3926701570680628,0.43169904409497384,0.0
1286,Triple Box,jks,0,2,-2,0,106,-106,36,0.0,0.2617801047120419,0.16342892383595437,0.0
1287,Deep Palace,jks,0,2,-2,0,200,-200,36,0.0,0.2617801047120419,0.3083564600678384,0.0
1288,Inside Market Doors,jks,0,1,-1,0,100,-100,36,0.0,0.13089005235602094,0.1541782300339192,0.0
1289,CT Side Apps,jks,0,1,-1,0,109,-109,36,0.0,0.13089005235602094,0.16805427073697193,0.0
1290,T Spawn A Ramp,jks,0,1,-1,0,100,-100,36,0.0,0.13089005235602094,0.1541782300339192,0.0
1291,Bench,jks,0,1,-1,0,100,-100,36,0.0,0.13089005235602094,0.1541782300339192,0.0
1292,Default A,jks,1,1,0,100,100,0,36,0.18315018315018314,0.13089005235602094,0.1541782300339192,0.19962072063080147
1293,Underpass,jks,0,1,-1,0,37,-37,36,0.0,0.13089005235602094,0.0570459451125501,0.0
1294,Bottom Connector,jks,0,0,0,0,0,0,36,0.0,0.0,0.0,0.0
1295,A Site Exposed to Stairs Connector Cat,jks,0,1,-1,0,78,-78,36,0.0,0.13089005235602094,0.12025901942645699,0.0
1296,Firebox,jks,0,1,-1,0,35,-35,36,0.0,0.13089005235602094,0.05396238051187173,0.0
1297,Tetris,jks,0,1,-1,0,60,-60,36,0.0,0.13089005235602094,0.09250693802035154,0.0
1298,A Ramp,jks,0,1,-1,0,90,-90,36,0.0,0.13089005235602094,0.13876040703052728,0.0
1299,Top Mid Left Side,Boombl4,0,4,-4,0,528,-528,29,0.0,0.5235602094240838,0.8140610545790935,0.0
1300,Bottom Stairs,Boombl4,0,3,-3,0,191,-191,29,0.0,0.3926701570680628,0.2944804193647857,0.0
1301,Deep Catwalk,Boombl4,0,2,-2,0,200,-200,29,0.0,0.2617801047120419,0.3083564600678384,0.0
